Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia temprana,femenino,sí,clase media-alta,grande,primaria,posgrado,casado,2.6,con padres,nuclear,1,unisexo,privado,4,menos de 1 km,dos veces a la semana,a pie,moderado,leve,ocasional,ocasional,regular,ocasional,bastante a menudo,rara vez,rara vez,algunas veces,moderado
adolescencia tardía,femenino,sí,clase media-baja,mediano,secundaria,preparatoria,soltero,1.8,albergue,conjunto,6,mixto,privado,2,1–3 km,nunca,transporte público,moderado,leve,nunca,ocasional,ocasional,ocasional,casi siempre,casi siempre,casi siempre,bastante a menudo,bajo
otros,masculino,sí,clase media-alta,grande,primaria,licenciatura,viudo,2.7,albergue,nuclear,1,mixto,público,2,más de 5 km,casi todos los días,a pie,alto,leve,ocasional,regular,nunca,regular,rara vez,bastante a menudo,casi nunca,casi siempre,moderado
adolescencia media,femenino,no,clase media-alta,pequeño,sin educación,licenciatura,divorciado,1.4,con padres,conjunto,4,unisexo,privado,2,1–3 km,nunca,a pie,bajo,moderado,ocasional,ocasional,regular,nunca,casi siempre,casi nunca,rara vez,casi siempre,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,secundaria,licenciatura,casado,3.4,con familiares,conjunto,2,mixto,público,2,más de 5 km,una vez a la semana,a pie,bajo,moderado,nunca,regular,ocasional,regular,algunas veces,bastante a menudo,algunas veces,bastante a menudo,bajo
otros,masculino,no,alta,mediano,sin educación,primaria,divorciado,2.3,con familiares,nuclear,1,unisexo,público,3,más de 5 km,casi todos los días,a pie,moderado,grave,ocasional,nunca,regular,ocasional,rara vez,casi nunca,casi siempre,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-baja,pequeño,secundaria,preparatoria,viudo,1.9,con padres,nuclear,4,unisexo,privado,5,más de 5 km,dos veces a la semana,a pie,bajo,leve,ocasional,nunca,nunca,nunca,bastante a menudo,rara vez,rara vez,casi nunca,bajo
otros,femenino,no,clase media-baja,mediano,preparatoria,licenciatura,soltero,0.9,albergue,conjunto,1,unisexo,privado,2,más de 5 km,dos veces a la semana,transporte privado,alto,grave,nunca,regular,nunca,ocasional,casi nunca,bastante a menudo,algunas veces,casi siempre,bajo
otros,femenino,no,clase baja,pequeño,secundaria,preparatoria,viudo,3.7,con padres,nuclear,4,mixto,privado,4,menos de 1 km,una vez a la semana,transporte privado,moderado,mayor,ocasional,regular,ocasional,nunca,casi siempre,bastante a menudo,algunas veces,bastante a menudo,moderado
otros,femenino,sí,alta,pequeño,posgrado,primaria,casado,1.3,con familiares,conjunto,2,mixto,privado,6,más de 5 km,una vez a la semana,a pie,moderado,muy poco estrés,ocasional,regular,regular,ocasional,bastante a menudo,bastante a menudo,algunas veces,rara vez,bajo
adolescencia tardía,masculino,sí,alta,grande,posgrado,licenciatura,soltero,2.7,con familiares,conjunto,6,mixto,privado,1,más de 5 km,nunca,transporte privado,alto,leve,nunca,ocasional,regular,regular,algunas veces,a veces,rara vez,rara vez,moderado
otros,femenino,sí,clase media-baja,pequeño,posgrado,preparatoria,viudo,3.3,con familiares,nuclear,4,mixto,privado,0,1–3 km,una vez a la semana,transporte público,bajo,leve,regular,ocasional,ocasional,nunca,casi siempre,rara vez,rara vez,rara vez,bajo
adolescencia media,masculino,no,alta,pequeño,preparatoria,secundaria,casado,4.6,con familiares,conjunto,4,mixto,público,6,menos de 1 km,dos veces a la semana,a pie,moderado,mayor,regular,ocasional,ocasional,regular,rara vez,rara vez,algunas veces,bastante a menudo,moderado
adolescencia tardía,femenino,sí,clase baja,mediano,sin educación,posgrado,viudo,2.3,con padres,conjunto,1,mixto,público,1,1–3 km,una vez a la semana,a pie,moderado,moderado,nunca,nunca,ocasional,regular,rara vez,rara vez,bastante a menudo,rara vez,bajo
adolescencia media,masculino,sí,alta,grande,posgrado,secundaria,divorciado,2.5,con padres,conjunto,4,unisexo,privado,3,1–3 km,casi todos los días,a pie,moderado,grave,nunca,nunca,regular,nunca,algunas veces,rara vez,casi nunca,casi nunca,moderado
otros,femenino,sí,clase media-baja,grande,licenciatura,sin educación,viudo,5.1,con familiares,nuclear,1,unisexo,público,3,más de 5 km,dos veces a la semana,transporte privado,moderado,moderado,nunca,ocasional,ocasional,nunca,bastante a menudo,rara vez,casi nunca,casi nunca,moderado
adolescencia media,femenino,sí,clase media-alta,grande,sin educación,primaria,casado,2.7,albergue,conjunto,6,unisexo,privado,0,3–5 km,casi todos los días,a pie,alto,leve,ocasional,nunca,ocasional,regular,rara vez,casi siempre,casi siempre,algunas veces,moderado
adolescencia tardía,femenino,no,clase baja,mediano,sin educación,secundaria,soltero,3.6,con padres,conjunto,3,unisexo,público,3,menos de 1 km,una vez a la semana,transporte privado,moderado,muy poco estrés,regular,ocasional,ocasional,nunca,casi siempre,casi siempre,bastante a menudo,algunas veces,moderado
adolescencia tardía,masculino,sí,clase media-alta,grande,secundaria,posgrado,separado,3.0,albergue,conjunto,1,unisexo,público,4,menos de 1 km,nunca,a pie,alto,leve,ocasional,nunca,ocasional,ocasional,rara vez,a veces,bastante a menudo,casi siempre,moderado
adolescencia temprana,masculino,sí,clase media-baja,pequeño,preparatoria,secundaria,soltero,3.2,con padres,nuclear,1,unisexo,público,4,3–5 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,ocasional,nunca,ocasional,nunca,casi siempre,casi nunca,casi siempre,algunas veces,moderado
adolescencia temprana,femenino,sí,alta,grande,sin educación,preparatoria,casado,3.5,albergue,nuclear,5,unisexo,público,5,1–3 km,casi todos los días,a pie,bajo,mayor,regular,nunca,regular,ocasional,rara vez,rara vez,casi nunca,casi siempre,bajo
otros,masculino,sí,alta,pequeño,preparatoria,preparatoria,casado,2.4,albergue,nuclear,2,unisexo,público,3,más de 5 km,dos veces a la semana,transporte público,bajo,leve,ocasional,nunca,ocasional,regular,casi nunca,casi nunca,rara vez,casi siempre,bajo
adolescencia media,masculino,sí,clase media-baja,mediano,posgrado,posgrado,divorciado,4.1,con padres,nuclear,5,unisexo,privado,3,menos de 1 km,casi todos los días,transporte privado,bajo,muy poco estrés,nunca,nunca,nunca,nunca,casi siempre,casi nunca,algunas veces,casi siempre,bajo
adolescencia tardía,femenino,no,clase media-alta,mediano,sin educación,posgrado,divorciado,4.0,con padres,conjunto,2,unisexo,privado,2,más de 5 km,una vez a la semana,transporte privado,alto,grave,regular,nunca,nunca,nunca,casi nunca,bastante a menudo,casi nunca,bastante a menudo,moderado
adolescencia media,masculino,sí,clase baja,mediano,primaria,licenciatura,divorciado,1.5,con familiares,nuclear,4,mixto,privado,3,1–3 km,nunca,transporte público,bajo,mayor,regular,ocasional,nunca,regular,rara vez,a veces,casi siempre,algunas veces,bajo
otros,masculino,sí,clase media-baja,mediano,preparatoria,secundaria,divorciado,3.6,albergue,nuclear,2,mixto,privado,5,más de 5 km,una vez a la semana,transporte privado,alto,muy poco estrés,nunca,ocasional,regular,ocasional,algunas veces,casi nunca,casi siempre,casi siempre,moderado
adolescencia tardía,femenino,no,alta,grande,sin educación,secundaria,divorciado,2.0,con familiares,conjunto,1,unisexo,público,3,1–3 km,dos veces a la semana,transporte privado,bajo,leve,regular,regular,regular,ocasional,casi siempre,a veces,casi nunca,rara vez,bajo
adolescencia tardía,masculino,no,clase media-baja,grande,primaria,preparatoria,soltero,0.8,con padres,conjunto,6,mixto,público,2,menos de 1 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,regular,ocasional,ocasional,regular,bastante a menudo,casi siempre,casi nunca,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-alta,mediano,posgrado,preparatoria,viudo,3.1,albergue,nuclear,2,unisexo,privado,1,menos de 1 km,dos veces a la semana,a pie,alto,grave,ocasional,ocasional,regular,regular,casi siempre,casi siempre,bastante a menudo,casi nunca,moderado
adolescencia tardía,masculino,no,alta,mediano,posgrado,primaria,divorciado,3.0,con familiares,conjunto,4,mixto,público,3,3–5 km,nunca,transporte privado,bajo,leve,regular,nunca,regular,nunca,casi siempre,casi siempre,algunas veces,casi siempre,bajo
adolescencia tardía,masculino,no,clase media-alta,mediano,secundaria,preparatoria,soltero,1.9,con padres,nuclear,6,mixto,privado,1,más de 5 km,nunca,transporte público,alto,moderado,nunca,nunca,nunca,ocasional,casi nunca,rara vez,rara vez,rara vez,bajo
adolescencia temprana,masculino,sí,clase media-baja,pequeño,posgrado,licenciatura,casado,0.9,con familiares,nuclear,1,mixto,privado,3,más de 5 km,una vez a la semana,transporte público,alto,mayor,ocasional,regular,nunca,nunca,algunas veces,casi nunca,rara vez,bastante a menudo,bajo
adolescencia tardía,masculino,no,clase baja,mediano,posgrado,sin educación,casado,2.1,albergue,conjunto,5,unisexo,público,3,1–3 km,una vez a la semana,transporte privado,moderado,mayor,ocasional,regular,ocasional,nunca,casi siempre,casi siempre,rara vez,rara vez,bajo
adolescencia temprana,femenino,no,clase baja,grande,secundaria,posgrado,viudo,1.9,albergue,nuclear,5,unisexo,privado,2,3–5 km,dos veces a la semana,transporte privado,bajo,mayor,regular,ocasional,nunca,nunca,casi nunca,rara vez,bastante a menudo,rara vez,bajo
adolescencia temprana,femenino,no,clase baja,grande,posgrado,posgrado,casado,2.0,con padres,conjunto,6,unisexo,público,3,menos de 1 km,dos veces a la semana,transporte público,moderado,muy poco estrés,nunca,regular,nunca,ocasional,algunas veces,rara vez,algunas veces,casi nunca,bajo
otros,masculino,no,clase baja,mediano,posgrado,preparatoria,viudo,4.6,con familiares,conjunto,1,unisexo,público,1,menos de 1 km,una vez a la semana,transporte público,alto,mayor,nunca,regular,ocasional,ocasional,casi nunca,rara vez,casi siempre,rara vez,moderado
adolescencia media,masculino,no,clase media-baja,mediano,posgrado,sin educación,divorciado,2.7,con familiares,nuclear,1,unisexo,público,3,3–5 km,nunca,transporte privado,alto,muy poco estrés,nunca,nunca,regular,regular,rara vez,rara vez,bastante a menudo,casi nunca,moderado
otros,masculino,no,clase baja,grande,licenciatura,primaria,soltero,3.0,albergue,nuclear,5,mixto,privado,3,más de 5 km,dos veces a la semana,transporte público,bajo,leve,ocasional,nunca,nunca,ocasional,casi siempre,a veces,rara vez,algunas veces,bajo
otros,masculino,sí,clase media-alta,mediano,posgrado,licenciatura,soltero,3.1,albergue,conjunto,4,mixto,público,1,1–3 km,nunca,transporte privado,bajo,grave,regular,regular,regular,ocasional,rara vez,casi nunca,casi siempre,casi nunca,bajo
adolescencia temprana,femenino,no,clase media-baja,pequeño,secundaria,posgrado,casado,1.4,con familiares,nuclear,5,mixto,privado,4,más de 5 km,casi todos los días,transporte privado,moderado,moderado,ocasional,regular,nunca,regular,bastante a menudo,casi siempre,algunas veces,rara vez,bajo
adolescencia temprana,femenino,sí,clase media-alta,pequeño,licenciatura,sin educación,viudo,1.0,con familiares,nuclear,5,unisexo,privado,1,más de 5 km,dos veces a la semana,transporte público,moderado,muy poco estrés,ocasional,nunca,regular,ocasional,casi siempre,rara vez,rara vez,algunas veces,bajo
adolescencia temprana,femenino,no,alta,mediano,preparatoria,licenciatura,separado,3.5,albergue,conjunto,4,mixto,público,2,menos de 1 km,una vez a la semana,transporte privado,moderado,moderado,ocasional,regular,ocasional,nunca,casi nunca,casi nunca,rara vez,algunas veces,moderado
adolescencia media,femenino,no,clase media-baja,pequeño,preparatoria,posgrado,separado,2.8,albergue,nuclear,2,unisexo,privado,2,3–5 km,casi todos los días,transporte público,moderado,mayor,nunca,ocasional,nunca,regular,casi siempre,casi siempre,bastante a menudo,casi siempre,moderado
adolescencia tardía,masculino,no,clase media-baja,grande,sin educación,posgrado,separado,1.8,con padres,nuclear,5,mixto,público,5,3–5 km,nunca,a pie,alto,muy poco estrés,regular,ocasional,ocasional,regular,casi siempre,rara vez,algunas veces,bastante a menudo,bajo
adolescencia temprana,femenino,no,clase baja,grande,posgrado,preparatoria,soltero,2.6,con padres,nuclear,3,mixto,público,1,más de 5 km,dos veces a la semana,a pie,bajo,mayor,regular,ocasional,nunca,nunca,casi siempre,casi siempre,casi siempre,bastante a menudo,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,licenciatura,primaria,divorciado,2.8,con familiares,nuclear,2,unisexo,privado,4,más de 5 km,nunca,a pie,moderado,muy poco estrés,regular,regular,nunca,nunca,casi nunca,bastante a menudo,casi nunca,algunas veces,moderado
adolescencia media,femenino,no,clase media-baja,grande,posgrado,secundaria,casado,3.1,con familiares,conjunto,6,mixto,privado,3,menos de 1 km,una vez a la semana,a pie,bajo,muy poco estrés,nunca,nunca,ocasional,ocasional,bastante a menudo,a veces,algunas veces,casi siempre,bajo
adolescencia media,femenino,sí,alta,pequeño,sin educación,preparatoria,viudo,4.0,con familiares,nuclear,6,unisexo,público,2,más de 5 km,nunca,transporte privado,alto,moderado,nunca,ocasional,nunca,ocasional,casi nunca,casi nunca,casi nunca,casi nunca,moderado
adolescencia media,masculino,sí,clase media-alta,pequeño,primaria,posgrado,viudo,2.4,con padres,nuclear,4,unisexo,público,1,menos de 1 km,dos veces a la semana,transporte privado,alto,leve,ocasional,ocasional,nunca,nunca,algunas veces,a veces,bastante a menudo,casi nunca,bajo
adolescencia temprana,femenino,sí,clase media-baja,grande,preparatoria,sin educación,viudo,2.3,con padres,conjunto,1,unisexo,público,1,3–5 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,ocasional,ocasional,ocasional,nunca,casi siempre,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase baja,grande,licenciatura,secundaria,soltero,1.0,albergue,conjunto,5,mixto,privado,2,menos de 1 km,casi todos los días,a pie,moderado,mayor,regular,regular,nunca,regular,algunas veces,casi siempre,algunas veces,algunas veces,bajo
adolescencia media,masculino,sí,clase baja,pequeño,licenciatura,preparatoria,soltero,3.2,albergue,nuclear,3,mixto,público,1,1–3 km,una vez a la semana,a pie,alto,grave,nunca,regular,nunca,ocasional,casi nunca,casi nunca,bastante a menudo,rara vez,moderado
adolescencia media,masculino,no,clase baja,mediano,sin educación,licenciatura,divorciado,2.9,con padres,nuclear,1,unisexo,privado,0,más de 5 km,dos veces a la semana,a pie,bajo,grave,ocasional,regular,nunca,nunca,rara vez,a veces,bastante a menudo,algunas veces,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,posgrado,sin educación,divorciado,3.4,albergue,nuclear,2,unisexo,privado,2,más de 5 km,dos veces a la semana,transporte privado,moderado,leve,nunca,ocasional,regular,regular,casi nunca,rara vez,bastante a menudo,bastante a menudo,moderado
otros,masculino,sí,alta,mediano,sin educación,licenciatura,divorciado,1.4,con padres,nuclear,3,unisexo,público,4,1–3 km,dos veces a la semana,transporte público,alto,mayor,ocasional,ocasional,ocasional,regular,bastante a menudo,casi nunca,algunas veces,rara vez,bajo
adolescencia temprana,masculino,no,alta,mediano,sin educación,preparatoria,soltero,1.3,con familiares,nuclear,3,mixto,público,2,más de 5 km,casi todos los días,a pie,moderado,mayor,regular,nunca,nunca,regular,casi nunca,rara vez,bastante a menudo,casi nunca,bajo
adolescencia tardía,masculino,sí,clase media-baja,grande,licenciatura,sin educación,soltero,3.2,albergue,nuclear,2,mixto,privado,0,menos de 1 km,casi todos los días,transporte público,moderado,mayor,regular,nunca,ocasional,nunca,bastante a menudo,a veces,rara vez,bastante a menudo,moderado
otros,masculino,sí,clase baja,pequeño,secundaria,secundaria,separado,4.7,albergue,conjunto,6,unisexo,privado,4,menos de 1 km,casi todos los días,a pie,bajo,grave,ocasional,regular,regular,nunca,rara vez,a veces,casi nunca,rara vez,bajo
otros,masculino,sí,alta,mediano,posgrado,sin educación,viudo,1.7,con familiares,nuclear,4,mixto,privado,2,menos de 1 km,dos veces a la semana,transporte público,alto,mayor,ocasional,regular,ocasional,ocasional,bastante a menudo,rara vez,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,sí,clase baja,mediano,preparatoria,licenciatura,soltero,2.2,con familiares,conjunto,6,unisexo,privado,1,3–5 km,dos veces a la semana,transporte público,alto,mayor,nunca,ocasional,ocasional,ocasional,casi nunca,casi nunca,algunas veces,casi siempre,bajo
adolescencia tardía,masculino,no,clase media-alta,mediano,licenciatura,primaria,separado,0.6,con familiares,nuclear,6,mixto,privado,3,1–3 km,nunca,a pie,bajo,mayor,nunca,ocasional,nunca,ocasional,casi siempre,a veces,algunas veces,algunas veces,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,posgrado,sin educación,separado,1.9,albergue,conjunto,4,unisexo,privado,0,1–3 km,una vez a la semana,transporte público,moderado,grave,nunca,nunca,regular,regular,casi siempre,casi siempre,rara vez,bastante a menudo,bajo
otros,femenino,no,alta,pequeño,posgrado,licenciatura,soltero,1.2,con familiares,conjunto,4,unisexo,público,1,menos de 1 km,una vez a la semana,transporte privado,alto,grave,nunca,ocasional,regular,regular,casi siempre,casi nunca,rara vez,casi nunca,bajo
adolescencia temprana,femenino,no,alta,mediano,licenciatura,primaria,soltero,0.1,con padres,conjunto,3,unisexo,privado,5,menos de 1 km,casi todos los días,a pie,moderado,mayor,ocasional,ocasional,ocasional,ocasional,casi nunca,rara vez,casi siempre,bastante a menudo,bajo
otros,femenino,sí,alta,mediano,secundaria,preparatoria,viudo,0.5,con familiares,conjunto,1,unisexo,privado,7,3–5 km,una vez a la semana,transporte público,bajo,mayor,ocasional,ocasional,nunca,nunca,casi nunca,bastante a menudo,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase baja,grande,secundaria,preparatoria,viudo,0.7,con familiares,nuclear,3,unisexo,privado,7,3–5 km,nunca,transporte público,moderado,grave,regular,regular,ocasional,regular,rara vez,casi siempre,casi siempre,casi siempre,bajo
adolescencia temprana,femenino,sí,clase media-baja,mediano,preparatoria,secundaria,casado,0.0,albergue,conjunto,4,mixto,privado,2,1–3 km,casi todos los días,transporte público,bajo,moderado,nunca,ocasional,regular,regular,rara vez,bastante a menudo,rara vez,casi siempre,bajo
adolescencia media,femenino,no,alta,pequeño,sin educación,secundaria,casado,0.4,con familiares,conjunto,3,mixto,público,6,3–5 km,casi todos los días,transporte público,alto,moderado,nunca,nunca,ocasional,nunca,rara vez,rara vez,bastante a menudo,casi siempre,bajo
adolescencia media,masculino,sí,clase media-baja,pequeño,sin educación,preparatoria,separado,3.1,albergue,nuclear,2,unisexo,público,0,1–3 km,nunca,transporte privado,moderado,muy poco estrés,nunca,ocasional,regular,regular,rara vez,rara vez,rara vez,bastante a menudo,moderado
adolescencia temprana,femenino,no,clase media-baja,mediano,preparatoria,sin educación,soltero,2.3,con padres,nuclear,6,mixto,privado,3,1–3 km,dos veces a la semana,a pie,bajo,muy poco estrés,regular,ocasional,ocasional,ocasional,casi nunca,casi nunca,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,sí,alta,mediano,secundaria,primaria,casado,1.7,con familiares,nuclear,3,mixto,privado,5,3–5 km,casi todos los días,transporte privado,alto,mayor,regular,regular,nunca,regular,casi nunca,casi nunca,casi nunca,casi nunca,bajo
adolescencia media,femenino,no,clase baja,mediano,secundaria,secundaria,casado,1.4,con padres,nuclear,2,mixto,privado,1,1–3 km,casi todos los días,transporte público,moderado,moderado,nunca,nunca,ocasional,regular,algunas veces,casi siempre,bastante a menudo,casi siempre,bajo
adolescencia temprana,femenino,sí,clase media-baja,mediano,licenciatura,sin educación,soltero,1.7,con padres,conjunto,2,unisexo,público,6,3–5 km,casi todos los días,transporte privado,alto,muy poco estrés,regular,nunca,nunca,regular,algunas veces,rara vez,casi nunca,bastante a menudo,bajo
otros,masculino,no,alta,mediano,sin educación,sin educación,separado,4.6,con familiares,conjunto,6,mixto,privado,4,menos de 1 km,casi todos los días,transporte público,bajo,grave,regular,ocasional,nunca,regular,casi siempre,casi nunca,casi siempre,casi siempre,bajo
adolescencia tardía,masculino,no,clase media-alta,grande,secundaria,primaria,casado,2.2,con familiares,nuclear,2,unisexo,público,2,más de 5 km,dos veces a la semana,transporte público,alto,grave,nunca,regular,nunca,regular,casi nunca,bastante a menudo,rara vez,bastante a menudo,bajo
adolescencia tardía,masculino,sí,clase media-alta,mediano,preparatoria,preparatoria,soltero,2.8,con familiares,nuclear,3,mixto,público,3,3–5 km,dos veces a la semana,transporte público,alto,mayor,regular,ocasional,nunca,regular,algunas veces,a veces,casi siempre,casi nunca,moderado
adolescencia temprana,femenino,no,clase media-alta,grande,sin educación,secundaria,viudo,2.8,albergue,nuclear,2,unisexo,privado,3,menos de 1 km,nunca,a pie,moderado,muy poco estrés,nunca,nunca,ocasional,ocasional,casi siempre,a veces,bastante a menudo,casi siempre,moderado
adolescencia media,femenino,no,clase media-baja,pequeño,licenciatura,primaria,separado,1.7,con padres,nuclear,5,mixto,público,5,más de 5 km,nunca,transporte privado,alto,moderado,ocasional,regular,nunca,nunca,algunas veces,bastante a menudo,casi siempre,rara vez,bajo
adolescencia temprana,femenino,no,alta,pequeño,sin educación,secundaria,viudo,0.9,con familiares,conjunto,6,mixto,público,0,menos de 1 km,nunca,a pie,alto,grave,nunca,ocasional,regular,nunca,casi nunca,a veces,casi nunca,algunas veces,bajo
otros,femenino,sí,alta,mediano,licenciatura,preparatoria,separado,3.1,con familiares,nuclear,1,unisexo,público,2,menos de 1 km,una vez a la semana,a pie,moderado,grave,nunca,nunca,nunca,ocasional,algunas veces,bastante a menudo,casi nunca,casi nunca,moderado
adolescencia media,masculino,no,alta,grande,preparatoria,posgrado,divorciado,5.4,con padres,nuclear,6,unisexo,público,2,3–5 km,casi todos los días,a pie,bajo,muy poco estrés,regular,nunca,ocasional,regular,casi siempre,a veces,bastante a menudo,rara vez,bajo
adolescencia media,femenino,sí,clase media-alta,mediano,licenciatura,sin educación,viudo,3.1,con familiares,nuclear,6,unisexo,privado,3,3–5 km,dos veces a la semana,transporte privado,moderado,mayor,nunca,ocasional,nunca,nunca,casi siempre,a veces,casi nunca,algunas veces,moderado
adolescencia temprana,masculino,sí,clase media-alta,pequeño,sin educación,posgrado,casado,4.3,con padres,nuclear,1,mixto,público,6,3–5 km,dos veces a la semana,transporte privado,moderado,mayor,regular,regular,ocasional,nunca,bastante a menudo,casi siempre,rara vez,rara vez,moderado
otros,masculino,no,clase media-alta,pequeño,preparatoria,preparatoria,viudo,2.6,con familiares,nuclear,3,mixto,público,2,menos de 1 km,nunca,transporte privado,bajo,mayor,ocasional,ocasional,ocasional,regular,algunas veces,a veces,casi siempre,algunas veces,bajo
adolescencia media,masculino,no,clase media-alta,mediano,secundaria,secundaria,soltero,2.4,con padres,nuclear,6,mixto,privado,3,3–5 km,una vez a la semana,transporte privado,moderado,mayor,nunca,ocasional,ocasional,ocasional,bastante a menudo,a veces,casi nunca,casi siempre,bajo
adolescencia temprana,femenino,sí,alta,mediano,licenciatura,preparatoria,casado,0.0,albergue,conjunto,4,unisexo,público,4,1–3 km,dos veces a la semana,transporte público,bajo,leve,nunca,nunca,nunca,nunca,rara vez,rara vez,rara vez,rara vez,bajo
otros,femenino,sí,clase media-alta,pequeño,primaria,sin educación,viudo,0.0,con padres,conjunto,6,unisexo,público,2,3–5 km,casi todos los días,a pie,bajo,grave,nunca,ocasional,nunca,nunca,casi siempre,bastante a menudo,algunas veces,casi siempre,bajo
adolescencia media,masculino,sí,clase media-alta,grande,licenciatura,sin educación,soltero,2.7,con familiares,conjunto,2,mixto,privado,4,3–5 km,nunca,transporte público,alto,leve,ocasional,regular,ocasional,ocasional,bastante a menudo,rara vez,bastante a menudo,casi nunca,moderado
otros,masculino,no,clase baja,pequeño,licenciatura,secundaria,separado,3.1,con padres,conjunto,1,unisexo,público,5,1–3 km,nunca,transporte privado,alto,muy poco estrés,nunca,nunca,nunca,nunca,casi siempre,rara vez,algunas veces,rara vez,moderado
adolescencia tardía,masculino,no,alta,mediano,licenciatura,licenciatura,soltero,3.2,con familiares,nuclear,1,mixto,privado,3,menos de 1 km,nunca,a pie,moderado,leve,regular,nunca,ocasional,regular,algunas veces,rara vez,algunas veces,casi siempre,moderado
adolescencia media,femenino,sí,alta,mediano,sin educación,sin educación,soltero,0.6,con familiares,conjunto,3,mixto,privado,1,3–5 km,nunca,transporte público,bajo,muy poco estrés,ocasional,regular,regular,nunca,casi siempre,rara vez,algunas veces,casi nunca,bajo
adolescencia media,masculino,sí,clase media-baja,mediano,licenciatura,licenciatura,divorciado,3.1,con familiares,nuclear,5,unisexo,público,1,1–3 km,dos veces a la semana,transporte público,alto,grave,ocasional,nunca,nunca,regular,rara vez,rara vez,algunas veces,algunas veces,moderado
adolescencia media,masculino,sí,clase media-baja,grande,sin educación,licenciatura,casado,3.2,con familiares,nuclear,6,mixto,público,1,3–5 km,casi todos los días,transporte público,bajo,grave,ocasional,nunca,nunca,nunca,casi nunca,casi nunca,bastante a menudo,casi siempre,bajo
adolescencia tardía,femenino,sí,clase media-alta,mediano,posgrado,secundaria,divorciado,2.5,albergue,conjunto,4,unisexo,privado,2,1–3 km,nunca,transporte público,moderado,mayor,ocasional,regular,ocasional,ocasional,casi siempre,a veces,rara vez,casi siempre,moderado
adolescencia temprana,masculino,sí,alta,mediano,posgrado,secundaria,viudo,2.7,con padres,conjunto,4,unisexo,público,2,menos de 1 km,dos veces a la semana,transporte privado,bajo,grave,ocasional,regular,regular,nunca,algunas veces,casi siempre,rara vez,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,secundaria,sin educación,soltero,2.7,con familiares,nuclear,3,mixto,público,1,3–5 km,una vez a la semana,transporte privado,alto,mayor,regular,nunca,regular,nunca,rara vez,bastante a menudo,bastante a menudo,casi nunca,moderado
adolescencia tardía,masculino,no,alta,mediano,sin educación,sin educación,soltero,0.6,albergue,nuclear,4,mixto,privado,4,3–5 km,casi todos los días,transporte público,bajo,moderado,regular,regular,nunca,nunca,bastante a menudo,a veces,casi siempre,algunas veces,bajo
otros,femenino,sí,clase baja,pequeño,secundaria,licenciatura,divorciado,1.9,con familiares,nuclear,1,unisexo,público,4,1–3 km,una vez a la semana,transporte privado,alto,grave,nunca,nunca,regular,ocasional,casi siempre,casi nunca,casi siempre,bastante a menudo,bajo
adolescencia media,masculino,sí,alta,mediano,preparatoria,sin educación,soltero,2.3,con padres,nuclear,5,mixto,privado,5,menos de 1 km,nunca,transporte público,bajo,grave,nunca,nunca,nunca,ocasional,casi nunca,casi siempre,algunas veces,algunas veces,bajo
adolescencia tardía,femenino,sí,alta,grande,primaria,licenciatura,separado,1.9,albergue,conjunto,1,mixto,público,6,menos de 1 km,casi todos los días,transporte público,bajo,grave,nunca,ocasional,ocasional,regular,rara vez,casi nunca,bastante a menudo,bastante a menudo,bajo
otros,femenino,sí,clase baja,grande,licenciatura,secundaria,separado,1.5,con padres,nuclear,2,mixto,privado,5,1–3 km,dos veces a la semana,transporte privado,moderado,leve,ocasional,ocasional,regular,nunca,casi siempre,casi nunca,casi nunca,bastante a menudo,bajo
otros,masculino,no,clase media-alta,mediano,primaria,posgrado,divorciado,3.1,con familiares,conjunto,5,mixto,privado,2,1–3 km,una vez a la semana,a pie,alto,leve,nunca,nunca,ocasional,ocasional,algunas veces,a veces,rara vez,bastante a menudo,moderado
adolescencia tardía,masculino,no,clase media-alta,mediano,primaria,secundaria,soltero,4.1,albergue,nuclear,1,mixto,público,4,3–5 km,nunca,transporte público,moderado,moderado,nunca,regular,regular,regular,rara vez,casi nunca,bastante a menudo,algunas veces,moderado
